repository_name,date,clones,unique_cloners
pdp-mcp,2025-11-20,9,6
pdp-mcp,2025-11-21,4,4
pdp-mcp,2025-11-22,3,3
pdp-mcp,2025-11-23,6,6
pdp-mcp,2025-11-24,7,3
pdp-mcp,2025-11-25,1,1
pdp-mcp,2025-11-26,5,5
pdp-mcp,2025-11-27,2,2
pdp-mcp,2025-11-28,4,4
pdp-mcp,2025-11-29,3,3
pdp-mcp,2025-10-29,1,1
pdp-mcp,2025-12-10,6,5
pdp-mcp,2025-12-11,5,5
pdp-mcp,2025-12-12,3,3
pdp-mcp,2025-12-13,7,6
pdp-mcp,2025-12-14,6,4
pdp-mcp,2025-12-15,5,4
pdp-mcp,2025-12-16,7,6
pdp-mcp,2025-12-17,6,6
pdp-mcp,2025-12-18,8,7
pdp-mcp,2025-12-19,7,6
pdp-mcp,2025-11-10,13,10
pdp-mcp,2025-11-11,2,2
pdp-mcp,2025-11-12,8,8
pdp-mcp,2025-11-13,4,4
pdp-mcp,2025-11-14,1,1
pdp-mcp,2025-11-15,3,3
pdp-mcp,2025-11-16,1,1
pdp-mcp,2025-11-17,1,1
pdp-mcp,2025-11-30,1,1
pdp-mcp,2025-11-18,1,1
pdp-mcp,2025-11-19,1,1
pdp-mcp,2025-12-01,23,12
pdp-mcp,2025-12-02,3,3
pdp-mcp,2025-12-03,7,4
pdp-mcp,2025-12-04,4,3
pdp-mcp,2025-12-05,4,4
pdp-mcp,2025-12-06,4,3
pdp-mcp,2025-12-20,4,4
pdp-mcp,2025-12-07,7,6
pdp-mcp,2025-12-21,10,7
pdp-mcp,2025-12-08,2,2
pdp-mcp,2025-12-22,2,2
pdp-mcp,2025-12-09,1,1
pdp-mcp,2025-12-23,4,3
pdp-mcp,2025-12-24,8,7
pdp-mcp,2025-12-25,5,4
pdp-mcp,2025-12-26,7,5
pdp-mcp,2025-12-27,8,6
pdp-mcp,2025-12-28,10,7
pdp-mcp,2025-12-29,8,6
pdp-mcp,2025-11-04,1,1
